"GeneID" "Cluster" "Name"
"419" "YBR155W" "insignificant" "CNS1"
"420" "YBR156C" "insignificant" "SLI15"
"421" "YBR157C" "insignificant" "ICS2"
"422" "YBR158W" "cluster4" "AMN1"
"423" "YBR159W" "insignificant" "IFA38"
"424" "YBR160W" "insignificant" "CDC28"
"425" "YBR161W" "insignificant" "CSH1"
"426" "YBR162C" "insignificant" "TOS1"
"427" "YBR162W-A" "insignificant" "YSY6"
"428" "YBR163W" "insignificant" "EXO5"
"429" "YBR164C" "insignificant" "ARL1"
"430" "YBR165W" "insignificant" "UBS1"
"431" "YBR166C" "cluster4" "TYR1"
"432" "YBR167C" "insignificant" "POP7"
"433" "YBR168W" "insignificant" "PEX32"
"434" "YBR169C" "insignificant" "SSE2"
"435" "YBR170C" "insignificant" "NPL4"
"436" "YBR171W" "insignificant" "SEC66"
"437" "YBR172C" "insignificant" "SMY2"
"438" "YBR173C" "insignificant" "UMP1"
"439" "YBR174C" "insignificant" ""
"440" "YBR175W" "insignificant" "SWD3"
"441" "YBR176W" "insignificant" "ECM31"
"442" "YBR177C" "insignificant" "EHT1"
"443" "YBR178W" "insignificant" ""
"444" "YBR179C" "insignificant" "FZO1"
"445" "YBR180W" "insignificant" "DTR1"
"446" "YBR181C" "insignificant" "RPS6B"
"447" "YBR182C" "insignificant" "SMP1"
"448" "YBR182C-A" "insignificant" ""
"449" "YBR183W" "insignificant" "YPC1"
"450" "YBR184W" "insignificant" ""
"451" "YBR185C" "insignificant" "MBA1"
"452" "YBR186W" "insignificant" "PCH2"
"453" "YBR187W" "insignificant" "GDT1"
"454" "YBR188C" "insignificant" "NTC20"
"455" "YBR189W" "insignificant" "RPS9B"
"456" "YBR190W" "insignificant" ""
"457" "YBR191W" "insignificant" "RPL21A"
"458" "YBR191W-A" "insignificant" ""
"459" "YBR192W" "insignificant" "RIM2"
"460" "YBR193C" "insignificant" "MED8"
"461" "YBR194W" "insignificant" "AIM4"
"462" "YBR195C" "insignificant" "MSI1"
"463" "YBR196C" "insignificant" "PGI1"
"464" "YBR196C-A" "insignificant" ""
"465" "YBR196C-B" "insignificant" ""
"466" "YBR197C" "insignificant" ""
"467" "YBR198C" "insignificant" "TAF5"
"468" "YBR199W" "insignificant" "KTR4"
"469" "YBR200W" "insignificant" "BEM1"
"470" "YBR200W-A" "insignificant" ""
"471" "YBR201C-A" "insignificant" ""
"472" "YBR201W" "insignificant" "DER1"
"473" "YBR202W" "insignificant" "MCM7"
"474" "YBR203W" "insignificant" "COS111"
"475" "YBR204C" "cluster2" "LDH1"
"476" "YBR205W" "insignificant" "KTR3"
"477" "YBR206W" "insignificant" ""
"478" "YBR207W" "insignificant" "FTH1"
"479" "YBR208C" "insignificant" "DUR1,2"
"480" "YBR209W" "insignificant" ""
"481" "YBR210W" "insignificant" "ERV15"
"482" "YBR211C" "insignificant" "AME1"
"483" "YBR212W" "insignificant" "NGR1"
"484" "YBR213W" "insignificant" "MET8"
"485" "YBR214W" "cluster6" "SDS24"
"486" "YBR215W" "insignificant" "HPC2"
"487" "YBR216C" "insignificant" "YBP1"
"488" "YBR217W" "insignificant" "ATG12"
"489" "YBR218C" "insignificant" "PYC2"
