"GeneID" "Cluster" "Name"
"441" "YBR176W" "cluster1" "ECM31"
"442" "YBR177C" "cluster3" "EHT1"
"443" "YBR178W" "insignificant" ""
"444" "YBR179C" "cluster2" "FZO1"
"445" "YBR180W" "insignificant" "DTR1"
"446" "YBR181C" "cluster7" "RPS6B"
"447" "YBR182C" "cluster9" "SMP1"
"448" "YBR182C-A" "insignificant" ""
"449" "YBR183W" "insignificant" "YPC1"
"450" "YBR184W" "insignificant" ""
"451" "YBR185C" "insignificant" "MBA1"
"452" "YBR186W" "cluster2" "PCH2"
"453" "YBR187W" "cluster5" "GDT1"
"454" "YBR188C" "insignificant" "NTC20"
"455" "YBR189W" "cluster7" "RPS9B"
"456" "YBR190W" "insignificant" ""
"457" "YBR191W" "cluster7" "RPL21A"
"458" "YBR191W-A" "insignificant" ""
"459" "YBR192W" "insignificant" "RIM2"
"460" "YBR193C" "cluster2" "MED8"
"461" "YBR194W" "cluster2" "AIM4"
"462" "YBR195C" "insignificant" "MSI1"
"463" "YBR196C" "cluster4" "PGI1"
"464" "YBR196C-A" "insignificant" ""
"465" "YBR196C-B" "insignificant" ""
"466" "YBR197C" "insignificant" ""
"467" "YBR198C" "insignificant" "TAF5"
"468" "YBR199W" "cluster2" "KTR4"
"469" "YBR200W" "insignificant" "BEM1"
"470" "YBR200W-A" "insignificant" ""
"471" "YBR201C-A" "insignificant" ""
"472" "YBR201W" "cluster2" "DER1"
"473" "YBR202W" "cluster1" "MCM7"
"474" "YBR203W" "cluster8" "COS111"
"475" "YBR204C" "cluster3" "LDH1"
"476" "YBR205W" "insignificant" "KTR3"
"477" "YBR206W" "insignificant" ""
"478" "YBR207W" "insignificant" "FTH1"
"479" "YBR208C" "cluster10" "DUR1,2"
"480" "YBR209W" "insignificant" ""
"481" "YBR210W" "insignificant" "ERV15"
"482" "YBR211C" "insignificant" "AME1"
"483" "YBR212W" "cluster3" "NGR1"
"484" "YBR213W" "insignificant" "MET8"
"485" "YBR214W" "cluster8" "SDS24"
"486" "YBR215W" "insignificant" "HPC2"
"487" "YBR216C" "insignificant" "YBP1"
"488" "YBR217W" "insignificant" "ATG12"
"489" "YBR218C" "cluster4" "PYC2"
"490" "YBR219C" "insignificant" ""
"491" "YBR220C" "insignificant" ""
"492" "YBR221C" "insignificant" "PDB1"
"493" "YBR221W-A" "insignificant" ""
"494" "YBR222C" "insignificant" "PCS60"
"495" "YBR223C" "cluster3" "TDP1"
"496" "YBR223W-A" "insignificant" ""
"497" "YBR224W" "insignificant" ""
"498" "YBR225W" "cluster3" ""
"499" "YBR227C" "cluster1" "MCX1"
"500" "YBR228W" "cluster1" "SLX1"
"501" "YBR229C" "cluster2" "ROT2"
"502" "YBR230C" "cluster8" "OM14"
"503" "YBR230W-A" "cluster8" ""
"504" "YBR231C" "cluster2" "SWC5"
"505" "YBR232C" "insignificant" ""
"506" "YBR233W" "cluster1" "PBP2"
"507" "YBR233W-A" "insignificant" "DAD3"
"508" "YBR234C" "insignificant" "ARC40"
"509" "YBR235W" "cluster1" "VHC1"
"510" "YBR236C" "insignificant" "ABD1"
"511" "YBR237W" "insignificant" "PRP5"
"512" "YBR238C" "cluster10" ""
"513" "YBR239C" "cluster1" "ERT1"
"514" "YBR240C" "cluster9" "THI2"
"515" "YBR241C" "cluster8" ""
"516" "YBR242W" "cluster5" ""
"517" "YBR243C" "cluster4" "ALG7"
"518" "YBR244W" "insignificant" "GPX2"
"519" "YBR245C" "insignificant" "ISW1"
"520" "YBR246W" "insignificant" "RRT2"
"521" "YBR247C" "cluster6" "ENP1"
"522" "YBR248C" "cluster5" "HIS7"
"523" "YBR249C" "cluster7" "ARO4"
"524" "YBR250W" "insignificant" "SPO23"
"525" "YBR251W" "cluster2" "MRPS5"
"526" "YBR252W" "insignificant" "DUT1"
"527" "YBR253W" "insignificant" "SRB6"
"528" "YBR254C" "insignificant" "TRS20"
"529" "YBR255C-A" "insignificant" "RCF3"
"530" "YBR255W" "insignificant" "MTC4"
"531" "YBR256C" "insignificant" "RIB5"
"532" "YBR257W" "insignificant" "POP4"
"533" "YBR258C" "cluster2" "SHG1"
"534" "YBR259W" "cluster1" ""
"535" "YBR260C" "insignificant" "RGD1"
"536" "YBR261C" "insignificant" "TAE1"
"537" "YBR262C" "insignificant" "MIC12"
"538" "YBR263W" "cluster4" "SHM1"
"539" "YBR264C" "insignificant" "YPT10"
"540" "YBR265W" "cluster1" "TSC10"
"541" "YBR266C" "insignificant" "SLM6"
"542" "YBR267W" "cluster6" "REI1"
"543" "YBR268W" "cluster2" "MRPL37"
"544" "YBR269C" "cluster3" "SDH8"
"545" "YBR270C" "insignificant" "BIT2"
"546" "YBR271W" "cluster5" "EFM2"
"547" "YBR272C" "insignificant" "HSM3"
"548" "YBR273C" "cluster2" "UBX7"
"549" "YBR274W" "insignificant" "CHK1"
"550" "YBR275C" "cluster1" "RIF1"
"551" "YBR276C" "cluster1" "PPS1"
"552" "YBR277C" "insignificant" ""
"553" "YBR278W" "cluster2" "DPB3"
"554" "YBR279W" "insignificant" "PAF1"
"555" "YBR280C" "cluster3" "SAF1"
"556" "YBR281C" "insignificant" "DUG2"
"557" "YBR282W" "insignificant" "MRPL27"
"558" "YBR283C" "cluster5" "SSH1"
"559" "YBR284W" "cluster9" ""
"560" "YBR285W" "cluster8" ""
"561" "YBR286W" "insignificant" "APE3"
"562" "YBR287W" "cluster3" ""
"563" "YBR288C" "insignificant" "APM3"
"564" "YBR289W" "cluster1" "SNF5"
"565" "YBR290W" "insignificant" "BSD2"
"566" "YBR291C" "insignificant" "CTP1"
"567" "YBR292C" "insignificant" ""
"568" "YBR293W" "cluster4" "VBA2"
"569" "YBR294W" "cluster4" "SUL1"
"570" "YBR295W" "cluster4" "PCA1"
"571" "YBR296C" "cluster11" "PHO89"
"572" "YBR296C-A" "insignificant" ""
"573" "YBR297W" "cluster9" "MAL33"
"574" "YBR298C" "cluster8" "MAL31"
"575" "YBR298C-A" "insignificant" ""
"576" "YBR299W" "insignificant" "MAL32"
"577" "YBR300C" "insignificant" ""
"578" "YBR301W" "insignificant" "PAU24"
"579" "YBR302C" "insignificant" "COS2"
"580" "YCL001W" "insignificant" "RER1"
"581" "YCL001W-A" "insignificant" ""
"582" "YCL001W-B" "insignificant" ""
"583" "YCL002C" "cluster1" ""
"584" "YCL004W" "insignificant" "PGS1"
"585" "YCL005W" "insignificant" "LDB16"
"586" "YCL005W-A" "insignificant" "VMA9"
"587" "YCL007C" "insignificant" ""
"588" "YCL008C" "cluster2" "STP22"
"589" "YCL009C" "insignificant" "ILV6"
"590" "YCL010C" "insignificant" "SGF29"
"591" "YCL011C" "cluster1" "GBP2"
"592" "YCL012C" "cluster3" ""
"593" "YCL014W" "cluster1" "BUD3"
"594" "YCL016C" "cluster1" "DCC1"
"595" "YCL017C" "insignificant" "NFS1"
"596" "YCL018W" "cluster12" "LEU2"
"597" "YCL019W" "cluster12" NA
"598" "YCL021W-A" "insignificant" ""
"599" "YCL022C" "insignificant" ""
"600" "YCL023C" "insignificant" ""
"601" "YCL024W" "insignificant" "KCC4"
"602" "YCL025C" "cluster9" "AGP1"
"603" "YCL026C-A" "cluster10" "FRM2"
"604" "YCL026C-B" "cluster9" "HBN1"
"605" "YCL027W" "cluster4" "FUS1"
"606" "YCL028W" "insignificant" "RNQ1"
"607" "YCL029C" "insignificant" "BIK1"
"608" "YCL030C" "cluster10" "HIS4"
"609" "YCL031C" "cluster5" "RRP7"
"610" "YCL032W" "cluster2" "STE50"
"611" "YCL033C" "insignificant" "MXR2"
"612" "YCL034W" "cluster3" "LSB5"
"613" "YCL035C" "cluster3" "GRX1"
"614" "YCL036W" "insignificant" "GFD2"
"615" "YCL037C" "insignificant" "SRO9"
"616" "YCL038C" "insignificant" "ATG22"
"617" "YCL039W" "cluster3" "GID7"
"618" "YCL040W" "cluster8" "GLK1"
"619" "YCL041C" "insignificant" ""
"620" "YCL042W" "insignificant" ""
"621" "YCL043C" "cluster4" "PDI1"
"622" "YCL044C" "cluster3" "MGR1"
"623" "YCL045C" "cluster1" "EMC1"
"624" "YCL046W" "insignificant" ""
"625" "YCL047C" "cluster2" "POF1"
"626" "YCL048W" "insignificant" "SPS22"
"627" "YCL048W-A" "insignificant" ""
