"GeneID" "Cluster" "Name"
"525" "YBR251W" "cluster4" "MRPS5"
"526" "YBR252W" "insignificant" "DUT1"
"527" "YBR253W" "insignificant" "SRB6"
"528" "YBR254C" "insignificant" "TRS20"
"529" "YBR255C-A" "cluster6" "RCF3"
"530" "YBR255W" "cluster4" "MTC4"
"531" "YBR256C" "insignificant" "RIB5"
"532" "YBR257W" "insignificant" "POP4"
"533" "YBR258C" "cluster4" "SHG1"
"534" "YBR259W" "cluster4" ""
"535" "YBR260C" "cluster4" "RGD1"
"536" "YBR261C" "insignificant" "TAE1"
"537" "YBR262C" "insignificant" "MIC12"
"538" "YBR263W" "cluster2" "SHM1"
"539" "YBR264C" "insignificant" "YPT10"
"540" "YBR265W" "cluster4" "TSC10"
"541" "YBR266C" "insignificant" "SLM6"
"542" "YBR267W" "cluster2" "REI1"
"543" "YBR268W" "insignificant" "MRPL37"
"544" "YBR269C" "cluster3" "SDH8"
"545" "YBR270C" "cluster4" "BIT2"
"546" "YBR271W" "cluster2" "EFM2"
"547" "YBR272C" "insignificant" "HSM3"
"548" "YBR273C" "cluster4" "UBX7"
"549" "YBR274W" "insignificant" "CHK1"
"550" "YBR275C" "cluster4" "RIF1"
"551" "YBR276C" "cluster4" "PPS1"
"552" "YBR277C" "insignificant" ""
"553" "YBR278W" "cluster6" "DPB3"
"554" "YBR279W" "insignificant" "PAF1"
"555" "YBR280C" "cluster6" "SAF1"
"556" "YBR281C" "cluster4" "DUG2"
"557" "YBR282W" "insignificant" "MRPL27"
"558" "YBR283C" "cluster4" "SSH1"
"559" "YBR284W" "insignificant" ""
"560" "YBR285W" "insignificant" ""
"561" "YBR286W" "insignificant" "APE3"
"562" "YBR287W" "cluster6" ""
"563" "YBR288C" "insignificant" "APM3"
"564" "YBR289W" "cluster4" "SNF5"
"565" "YBR290W" "insignificant" "BSD2"
"566" "YBR291C" "cluster7" "CTP1"
"567" "YBR292C" "insignificant" ""
"568" "YBR293W" "cluster6" "VBA2"
"569" "YBR294W" "insignificant" "SUL1"
"570" "YBR295W" "cluster7" "PCA1"
"571" "YBR296C" "cluster9" "PHO89"
"572" "YBR296C-A" "insignificant" ""
"573" "YBR297W" "cluster3" "MAL33"
"574" "YBR298C" "cluster3" "MAL31"
"575" "YBR298C-A" "insignificant" ""
"576" "YBR299W" "cluster3" "MAL32"
"577" "YBR300C" "cluster5" ""
"578" "YBR301W" "cluster5" "PAU24"
"579" "YBR302C" "insignificant" "COS2"
"580" "YCL001W" "insignificant" "RER1"
"581" "YCL001W-A" "insignificant" ""
"582" "YCL001W-B" "insignificant" ""
"583" "YCL002C" "cluster4" ""
"584" "YCL004W" "insignificant" "PGS1"
"585" "YCL005W" "insignificant" "LDB16"
"586" "YCL005W-A" "insignificant" "VMA9"
"587" "YCL007C" "insignificant" ""
"588" "YCL008C" "cluster7" "STP22"
"589" "YCL009C" "insignificant" "ILV6"
"590" "YCL010C" "insignificant" "SGF29"
"591" "YCL011C" "cluster4" "GBP2"
"592" "YCL012C" "insignificant" ""
"593" "YCL014W" "cluster4" "BUD3"
"594" "YCL016C" "cluster4" "DCC1"
"595" "YCL017C" "insignificant" "NFS1"
"596" "YCL018W" "cluster9" "LEU2"
"597" "YCL019W" "insignificant" NA
"598" "YCL021W-A" "insignificant" ""
"599" "YCL022C" "insignificant" ""
"600" "YCL023C" "insignificant" ""
"601" "YCL024W" "cluster4" "KCC4"
"602" "YCL025C" "cluster3" "AGP1"
"603" "YCL026C-A" "cluster3" "FRM2"
"604" "YCL026C-B" "cluster3" "HBN1"
"605" "YCL027W" "cluster7" "FUS1"
"606" "YCL028W" "insignificant" "RNQ1"
"607" "YCL029C" "insignificant" "BIK1"
"608" "YCL030C" "cluster8" "HIS4"
"609" "YCL031C" "insignificant" "RRP7"
"610" "YCL032W" "cluster4" "STE50"
"611" "YCL033C" "cluster6" "MXR2"
"612" "YCL034W" "cluster6" "LSB5"
"613" "YCL035C" "cluster6" "GRX1"
"614" "YCL036W" "insignificant" "GFD2"
"615" "YCL037C" "cluster8" "SRO9"
"616" "YCL038C" "insignificant" "ATG22"
"617" "YCL039W" "cluster6" "GID7"
"618" "YCL040W" "cluster3" "GLK1"
"619" "YCL041C" "insignificant" ""
"620" "YCL042W" "insignificant" ""
"621" "YCL043C" "cluster7" "PDI1"
"622" "YCL044C" "cluster6" "MGR1"
"623" "YCL045C" "cluster4" "EMC1"
"624" "YCL046W" "insignificant" ""
"625" "YCL047C" "cluster4" "POF1"
"626" "YCL048W" "cluster9" "SPS22"
"627" "YCL048W-A" "cluster10" ""
